City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,62.456,-114.3525,-4.59,85,100,5.75,light snow
1,Lompoc,US,34.6391,-120.4579,68.09,43,0,5.75,clear sky
2,Opuwo,NA,-18.0607,13.84,73.8,36,100,13.04,overcast clouds
3,Albany,US,42.6001,-73.9662,14.81,64,100,10.0,overcast clouds
4,Ginir,ET,7.1333,40.7,61.09,16,4,3.85,clear sky
5,Rikitea,PF,-23.1203,-134.9692,77.29,74,100,12.8,light rain
6,Ahar,IR,38.4774,47.0699,12.97,92,19,7.99,few clouds
7,Airai,TL,-8.9266,125.4092,60.64,93,100,3.4,overcast clouds
8,Bethel,US,41.3712,-73.414,16.03,79,100,8.01,snow
9,Ejura,GH,7.3856,-1.3562,87.4,16,98,4.61,overcast clouds
10,Hervey Bay,AU,-25.2986,152.8535,74.01,93,53,8.99,broken clouds
11,Ushuaia,AR,-54.8,-68.3,49.66,87,100,20.71,light rain
12,Hermanus,ZA,-34.4187,19.2345,74.89,71,1,15.86,clear sky
13,Cocal,BR,-28.6167,-49.35,70.34,81,100,2.82,overcast clouds
14,Buraydah,SA,26.326,43.975,54.05,33,0,18.37,clear sky
15,Qaanaaq,GL,77.484,-69.3632,-4.97,62,100,8.93,overcast clouds
16,Mataura,NZ,-46.1927,168.8643,61.48,96,100,1.88,overcast clouds
17,Iquitos,PE,-3.7481,-73.2472,91.44,49,40,8.05,scattered clouds
18,Bonfim,BR,3.0833,-59.95,93.65,34,76,9.17,broken clouds
19,Olafsvik,IS,64.8945,-23.7142,38.41,70,100,27.18,light rain
20,Puerto Ayora,EC,-0.7393,-90.3518,80.56,69,17,9.64,few clouds
21,Dikson,RU,73.5069,80.5464,2.88,93,100,21.41,overcast clouds
22,Vaini,TO,-21.2,-175.2,81.34,79,100,17.36,light rain
23,Busselton,AU,-33.65,115.3333,65.08,89,0,15.55,clear sky
24,Chuy,UY,-33.6971,-53.4616,76.75,53,27,11.43,scattered clouds
25,Barrow,US,71.2906,-156.7887,-7.58,71,100,12.66,overcast clouds
