City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Warrington,GB,2022-01-27 00:06:22,53.3925,-2.5802,50.9,87,100,7.0
1,Acarau,BR,2022-01-27 00:01:25,-2.8856,-40.12,78.01,86,100,10.16
2,Busselton,AU,2022-01-27 00:06:22,-33.65,115.3333,66.04,63,1,13.78
3,Avarua,CK,2022-01-27 00:06:22,-21.2078,-159.775,82.45,89,75,13.8
4,Dikson,RU,2022-01-27 00:06:23,73.5069,80.5464,13.14,93,100,28.1
5,Esperance,AU,2022-01-27 00:06:23,-33.8667,121.9,64.24,82,90,6.4
6,Puerto Ayora,EC,2022-01-27 00:06:23,-0.7393,-90.3518,74.41,86,86,8.25
7,Yellowknife,CA,2022-01-27 00:06:24,62.456,-114.3525,4.41,91,100,3.2
8,Goderich,CA,2022-01-27 00:06:24,43.7501,-81.7165,13.91,74,95,15.84
9,North Bend,US,2022-01-27 00:06:25,43.4065,-124.2243,54.91,85,0,4.61
10,Pingxiang,CN,2022-01-27 00:06:25,27.6167,113.85,41.34,96,100,2.42
11,Bluff,NZ,2022-01-27 00:06:26,-46.6,168.3333,58.8,55,84,9.69
12,New Norfolk,AU,2022-01-27 00:06:26,-42.7826,147.0587,72.66,53,100,1.99
13,Bengkulu,ID,2022-01-27 00:06:27,-3.8004,102.2655,77.27,84,100,3.53
14,Mataura,NZ,2022-01-27 00:06:27,-46.1927,168.8643,58.48,46,60,8.01
15,Torbay,CA,2022-01-27 00:05:30,47.6666,-52.7314,35.76,95,100,3.0
16,Butaritari,KI,2022-01-27 00:02:11,3.0707,172.7902,81.97,78,33,13.44
17,Thompson,CA,2022-01-27 00:04:26,55.7435,-97.8558,-6.56,85,100,13.67
18,Hilo,US,2022-01-27 00:02:15,19.7297,-155.09,77.25,78,42,3.0
19,Punta Arenas,CL,2022-01-27 00:05:42,-53.15,-70.9167,51.91,71,40,32.21
20,Namie,JP,2022-01-27 00:06:28,37.4833,141.0,43.99,54,44,9.48
21,Charters Towers,AU,2022-01-27 00:06:29,-20.1,146.2667,76.87,82,100,8.1
22,Bredasdorp,ZA,2022-01-27 00:06:29,-34.5322,20.0403,64.27,87,91,7.14
23,Trairi,BR,2022-01-27 00:06:30,-3.2778,-39.2689,77.77,88,100,7.94
24,Pazaric,BA,2022-01-27 00:06:30,43.7886,18.1608,17.42,100,21,1.12
25,Ushuaia,AR,2022-01-27 00:04:56,-54.8,-68.3,51.46,71,75,31.07
26,Mehran,IR,2022-01-27 00:06:31,33.1222,46.1646,54.01,65,0,11.36
27,Saint George,US,2022-01-27 00:01:41,37.1041,-113.5841,54.07,22,0,3.0
28,Saint-Philippe,RE,2022-01-27 00:06:31,-21.3585,55.7679,71.19,68,58,8.7
29,Vilhena,BR,2022-01-27 00:06:31,-12.7406,-60.1458,70.45,96,97,3.58
30,Sao Felix Do Xingu,BR,2022-01-27 00:06:32,-6.6447,-51.995,72.97,94,99,0.49
31,Wau,SS,2022-01-27 00:06:32,7.7029,27.9953,78.49,19,99,9.95
32,Bambous Virieux,MU,2022-01-27 00:06:32,-20.3428,57.7575,76.17,71,61,9.64
33,Concepcion,CL,2022-01-27 00:05:14,-36.827,-73.0498,62.4,82,75,6.91
34,Cap Malheureux,MU,2022-01-27 00:06:33,-19.9842,57.6142,77.43,66,16,9.78
35,Qui Nhon,VN,2022-01-27 00:03:31,13.7667,109.2333,72.07,83,83,8.55
36,Nome,US,2022-01-27 00:06:34,64.5011,-165.4064,-15.84,83,0,0.0
37,Hermanus,ZA,2022-01-27 00:03:22,-34.4187,19.2345,64.8,81,67,10.87
38,Provideniya,RU,2022-01-27 00:06:34,64.3833,-173.3,-3.64,71,75,4.47
39,Tocopilla,CL,2022-01-27 00:06:35,-22.092,-70.1979,68.5,69,23,5.1
40,Gemena,CD,2022-01-27 00:06:35,3.25,19.7667,71.31,42,100,2.59
41,Rikitea,PF,2022-01-27 00:06:36,-23.1203,-134.9692,78.44,77,9,17.16
42,Ribeira Grande,PT,2022-01-27 00:06:36,38.5167,-28.7,59.52,78,15,15.12
43,Upernavik,GL,2022-01-27 00:06:36,72.7868,-56.1549,9.72,88,93,26.96
44,Gallup,US,2022-01-27 00:06:37,35.5281,-108.7426,43.56,46,0,1.01
45,Monte Alegre,BR,2022-01-27 00:06:37,-2.0078,-54.0692,79.12,71,100,2.95
46,East London,ZA,2022-01-27 00:06:37,-33.0153,27.9116,73.62,92,66,3.78
